Files,Classes,CDR,FoS_mean,FoS_std,FoS_var
drishtiGS_002.png,0,0.17846153846153845,18.31944798,10.48909637,110.0211427
drishtiGS_010.png,0,0.765,40.7455646,26.51798142,703.2033385
drishtiGS_012.png,0,0.3165680473372781,47.54236942,25.39036618,644.6706946
drishtiGS_015.png,0,0.7448979591836735,45.80858098,24.84015061,617.0330824
drishtiGS_001.png,0,0.7109375,51.67483853,31.21594909,974.4354776
drishtiGS_014.png,0,0.16373477672530445,53.19004822,29.53989267,872.6052588
drishtiGS_011.png,0,0.13043478260869565,57.43822329,27.78262983,771.8745205
drishtiGS_005.png,0,0.62890625,41.22884527,32.81733707,1076.977613
drishtiGS_086.png,0,1.1311475409836065,48.72445308,32.824585,1077.453381
Im0516_g_ORIGA.jpg,0,0.2710526315789474,68.4613018,49.36573424,2436.975717
Im0512_g_ORIGA.jpg,0,0.07272727272727272,38.66722806,29.87815124,892.7039213
Im0528_g_ORIGA.jpg,0,0.5169082125603864,79.58733161,56.20204382,3158.66973
Im0527_g_ORIGA.jpg,0,0.5737327188940092,62.4823904,46.75029443,2185.590029
233.jpg,0,0.07272727272727272,38.66700776,29.87781957,892.6841023
246.jpg,0,0.2736842105263158,68.46106863,49.37088968,2437.484748
644.jpg,0,0.43333333333333335,62.21726608,49.21652026,2422.265866
638.jpg,0,0.08333333333333333,71.23806095,52.90101818,2798.517724
1247_left.jpg,0,0.33136094674556216,43.81600963,52.4444253,2750.417745
1218_left.jpg,0,0.7538461538461538,34.77648399,22.43134073,503.1650468
1232_right.jpg,0,0.9620853080568721,36.92051752,42.11342033,1773.540172
1218_right.jpg,0,0.79375,33.65716057,23.93310444,572.793488
1225_left.jpg,0,0.7734375,19.1808211,31.67369462,1003.222931
1229_right.jpg,0,0.6895604395604396,36.89103625,36.920707,1363.138605
1241_left.jpg,0,0.5358539765319427,38.20390542,40.23479085,1618.838395
1222_left.jpg,0,0.4661016949152542,30.24968416,26.60314665,707.7274115
